continent,location,date,population,new_vaccinations,cumulative_vaccinations
Asia,Afghanistan,2020-02-24,38928341,,
Asia,Afghanistan,2020-02-25,38928341,,
Asia,Afghanistan,2020-02-26,38928341,,
Asia,Afghanistan,2020-02-27,38928341,,
Asia,Afghanistan,2020-02-28,38928341,,
Asia,Afghanistan,2020-02-29,38928341,,
Asia,Afghanistan,2020-03-01,38928341,,
Asia,Afghanistan,2020-03-02,38928341,,
Asia,Afghanistan,2020-03-03,38928341,,
Asia,Afghanistan,2020-03-04,38928341,,
Asia,Afghanistan,2020-03-05,38928341,,
Asia,Afghanistan,2020-03-06,38928341,,
Asia,Afghanistan,2020-03-07,38928341,,
Asia,Afghanistan,2020-03-08,38928341,,
Asia,Afghanistan,2020-03-09,38928341,,
Asia,Afghanistan,2020-03-10,38928341,,
Asia,Afghanistan,2020-03-11,38928341,,
Asia,Afghanistan,2020-03-12,38928341,,
Asia,Afghanistan,2020-03-13,38928341,,
Asia,Afghanistan,2020-03-14,38928341,,
Asia,Afghanistan,2020-03-15,38928341,,
Asia,Afghanistan,2020-03-16,38928341,,
Asia,Afghanistan,2020-03-17,38928341,,
Asia,Afghanistan,2020-03-18,38928341,,
Asia,Afghanistan,2020-03-19,38928341,,
Asia,Afghanistan,2020-03-20,38928341,,
Asia,Afghanistan,2020-03-21,38928341,,
Asia,Afghanistan,2020-03-22,38928341,,
Asia,Afghanistan,2020-03-23,38928341,,
Asia,Afghanistan,2020-03-24,38928341,,
Asia,Afghanistan,2020-03-25,38928341,,
Asia,Afghanistan,2020-03-26,38928341,,
Asia,Afghanistan,2020-03-27,38928341,,
Asia,Afghanistan,2020-03-28,38928341,,
Asia,Afghanistan,2020-03-29,38928341,,
Asia,Afghanistan,2020-03-30,38928341,,
Asia,Afghanistan,2020-03-31,38928341,,
Asia,Afghanistan,2020-04-01,38928341,,
Asia,Afghanistan,2020-04-02,38928341,,
Asia,Afghanistan,2020-04-03,38928341,,
Asia,Afghanistan,2020-04-04,38928341,,
Asia,Afghanistan,2020-04-05,38928341,,
Asia,Afghanistan,2020-04-06,38928341,,
Asia,Afghanistan,2020-04-07,38928341,,
Asia,Afghanistan,2020-04-08,38928341,,
Asia,Afghanistan,2020-04-09,38928341,,
Asia,Afghanistan,2020-04-10,38928341,,
Asia,Afghanistan,2020-04-11,38928341,,
Asia,Afghanistan,2020-04-12,38928341,,
Asia,Afghanistan,2020-04-13,38928341,,
Asia,Afghanistan,2020-04-14,38928341,,
Asia,Afghanistan,2020-04-15,38928341,,
Asia,Afghanistan,2020-04-16,38928341,,
Asia,Afghanistan,2020-04-17,38928341,,
Asia,Afghanistan,2020-04-18,38928341,,
Asia,Afghanistan,2020-04-19,38928341,,
Asia,Afghanistan,2020-04-20,38928341,,
Asia,Afghanistan,2020-04-21,38928341,,
Asia,Afghanistan,2020-04-22,38928341,,
Asia,Afghanistan,2020-04-23,38928341,,
Asia,Afghanistan,2020-04-24,38928341,,
Asia,Afghanistan,2020-04-25,38928341,,
Asia,Afghanistan,2020-04-26,38928341,,
Asia,Afghanistan,2020-04-27,38928341,,
Asia,Afghanistan,2020-04-28,38928341,,
Asia,Afghanistan,2020-04-29,38928341,,
Asia,Afghanistan,2020-04-30,38928341,,
Asia,Afghanistan,2020-05-01,38928341,,
Asia,Afghanistan,2020-05-02,38928341,,
Asia,Afghanistan,2020-05-03,38928341,,
Asia,Afghanistan,2020-05-04,38928341,,
Asia,Afghanistan,2020-05-05,38928341,,
Asia,Afghanistan,2020-05-06,38928341,,
Asia,Afghanistan,2020-05-07,38928341,,
Asia,Afghanistan,2020-05-08,38928341,,
Asia,Afghanistan,2020-05-09,38928341,,
Asia,Afghanistan,2020-05-10,38928341,,
Asia,Afghanistan,2020-05-11,38928341,,
Asia,Afghanistan,2020-05-12,38928341,,
Asia,Afghanistan,2020-05-13,38928341,,
Asia,Afghanistan,2020-05-14,38928341,,
Asia,Afghanistan,2020-05-15,38928341,,
Asia,Afghanistan,2020-05-16,38928341,,
Asia,Afghanistan,2020-05-17,38928341,,
Asia,Afghanistan,2020-05-18,38928341,,
Asia,Afghanistan,2020-05-19,38928341,,
Asia,Afghanistan,2020-05-20,38928341,,
Asia,Afghanistan,2020-05-21,38928341,,
Asia,Afghanistan,2020-05-22,38928341,,
Asia,Afghanistan,2020-05-23,38928341,,
Asia,Afghanistan,2020-05-24,38928341,,
Asia,Afghanistan,2020-05-25,38928341,,
Asia,Afghanistan,2020-05-26,38928341,,
Asia,Afghanistan,2020-05-27,38928341,,
Asia,Afghanistan,2020-05-28,38928341,,
Asia,Afghanistan,2020-05-29,38928341,,
Asia,Afghanistan,2020-05-30,38928341,,
Asia,Afghanistan,2020-05-31,38928341,,
Asia,Afghanistan,2020-06-01,38928341,,
Asia,Afghanistan,2020-06-02,38928341,,
Asia,Afghanistan,2020-06-03,38928341,,
Asia,Afghanistan,2020-06-04,38928341,,
Asia,Afghanistan,2020-06-05,38928341,,
Asia,Afghanistan,2020-06-06,38928341,,
Asia,Afghanistan,2020-06-07,38928341,,
Asia,Afghanistan,2020-06-08,38928341,,
Asia,Afghanistan,2020-06-09,38928341,,
Asia,Afghanistan,2020-06-10,38928341,,
